domainId,instanceId,comparableId,feature0,feature1,feature2,feature3,feature4,feature5,delta_x0,delta_x1,delta_x2,delta_x3,delta_x4,delta_x5,delta_y0,delta_y1,delta_y2,delta_y3,delta_y4,delta_y5,pred,actual,last_adjusted,LIME_pred,subject_actual,subject_pred,kernel_width,distance,normalized_distance
0,0,0,1.5,1.18,3.0,7.0,2.3882852,106.0,0.0,-0.27,1.0,0.0,-0.05,0.0,0.0,-76.82,2.75,0.0,44.76,0.0,554.4,600,3,"1,2,4","523.2,525.9,570.7"
0,0,1,1,1.4,4.0,7.0,2.4522357,106.0,0.5,-0.49,0.0,0.0,-0.12,0.0,3.12,-98.67,0.0,0.0,47.88,0.0,630.0,710,3,"1,0,4","611.3,614.5,662.3"
1.0,0.0,0,189.425,9.0,16.7,2.0,1.0,,-22.911,0.0,-1.0999999999999996,-2.0,-1.0,,-0.05205924212871152,-0.0,-0.007642042333119115,0.0012399377082122028,-0.012296620793909962,0.0,3.8214,4,3.9292420324524717,3.750641959591754,4.2,4.220343,3.0,23.046125943420513,1.0058733101220427
1.0,0.0,1,98.539,8.0,14.4,0.0,0.0,,67.97500000000001,1.0,1.1999999999999993,0.0,0.0,,0.06896966258492826,-0.0058620935012001964,0.00249764776478876,-0.0,0.0,0.0,3.3799863,3,3.0656052168485166,3.4455915030118467,4.2,4.220343,1.9804198813230636,67.99294540612284,0.1808942609681164
2.0,0.0,0,2.0,4.0,2.0,17.0,1.0,9.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,3.895993371811671,-3.568904387292877,-2.5257923280268892,-0.0,2.1982049111221307,-0.0,40.516865,42,41.99950156761403,40.51636634422536,48.3,39.22688,2.8203324036051334,2.0,0.5351945097488446
2.0,0.0,2,2.0,4.0,2.0,17.0,3.0,10.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,3.9716904437229608,-4.936315093521709,-2.593723855502353,-0.0,-0.9445171274704223,1.0445748531103678,39.152866,45,41.541709220338845,35.694575583864236,48.3,39.22688,2.820825330334417,2.23606797749979,0.5354628250749166
