domainId,instanceId,comparableId,feature0,feature1,feature2,feature3,feature4,feature5,delta_x0,delta_x1,delta_x2,delta_x3,delta_x4,delta_x5,delta_y0,delta_y1,delta_y2,delta_y3,delta_y4,delta_y5,pred,actual,adjusted_step_number,adjusted_order,adjusted_price
0,0,0,1.5,1.18,3.0,7.0,2.3882852,106.0,0.0,-0.27,1.0,0.0,-0.05,0.0,0.0,-76.82,2.75,0.0,44.76,0.0,554.4,600,3,"1,2,4","523.2,525.9,570.7"
0,0,1,1,1.4,4.0,7.0,2.4522357,106.0,0.5,-0.49,0.0,0.0,-0.12,0.0,3.12,-98.67,0.0,0.0,47.88,0.0,630.0,710,3,"1,0,4","611.3,614.5,662.3"
1,0,0,189.425,9.0,16.7,2.0,1.0,,-22.91,0.0,-1.1,-2.0,-1.0,0,-0.47,0.0,-0.19,0.39,0.85,0,3.8,4,4,"4,3,0,2","4.6,5.0,4.5,4.4"
1,0,1,98.539,8.0,14.4,0.0,0.0,,67.98,1.0,1.2,0.0,0.0,0,0.92,-0.15,-0.42,0.0,0.0,0,3.4,3,3,"0,1,2","4.3,4.1,3.7"
2,0,0,2.0,4.0,2.0,17.0,1.0,9.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.44,-2.86,-1.58,0.0,0.13,0.0,41.4,42,4,"1,2,0,4","39.2,37.7,38.1,38.2"
2,0,2,2.0,4.0,2.0,17.0,3.0,10.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.9,-4.19,-2.22,0.0,-4.35,6.55,40.4,45,5,"5,1,4,2,0","51.4,47.2,42.8,40.6,42.5"
